"","note1","note2","note3","anzahl1","anzahl2","anzahl3","photoID","id","utility"
"56",0,0,1,1,0,0,0,17,-1.49243740751074
"52",0,0,1,1,0,0,1,16,-0.929470479772456
"10",0,0,1,0,1,0,0,6,-0.523510111249793
"2",0,0,1,0,0,1,0,2,0
"3",0,1,0,1,0,0,0,3,0.0369005170250751
"28",0,0,1,0,1,0,1,13,0.0394568164884957
"20",0,0,1,0,0,1,1,9,0.562966927738288
"21",0,1,0,1,0,0,1,10,0.599867444763363
"1",0,1,0,0,1,0,0,1,1.00582781328603
"7",1,0,0,1,0,0,0,5,1.06040369753519
"14",0,1,0,0,0,1,0,7,1.52933792453582
"19",0,1,0,0,1,0,1,8,1.56879474102432
"25",1,0,0,1,0,0,1,12,1.62337062527348
"5",1,0,0,0,1,0,0,4,2.02933099379614
"32",0,1,0,0,0,1,1,14,2.09230485227411
"38",1,0,0,0,0,1,0,15,2.55284110504594
"23",1,0,0,0,1,0,1,11,2.59229792153443
"69",1,0,0,0,0,1,1,18,3.11580803278423
