vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
adwe19,41,1,1,1.3,99,98,30,m,
adwe19,41,,2,1.0,96,75,16,f,
adwe19,41,,3,1.7,91,94,,m,
adwe19,41,,4,1.4,94,108,,m,
adwe19,16,,1,1.9,75,105,33,m,
adwe19,16,2,2,1.5,91,5,11,f,
adwe19,16,,3,2.3,68,75,13,f,
adwe19,16,,4,1.8,80,11,29,m,
adwe19,25,,1,1.3,96,75,,f,
adwe19,25,2,2,1.1,99,104,,m,
adwe19,25,,3,1.1,99,13,37,m,
adwe19,25,,4,1.0,100,5,36,m,
adwe19,11,,1,1.3,96,7,,m,
adwe19,11,,2,1.9,75,47,,f,
adwe19,11,,3,2.0,71,42,,f,
adwe19,11,4,4,1.0,97,7,,f,
adwe19,18,,1,2.0,74,101,33,m,
adwe19,18,,2,1.0,95,14,16,f,
adwe19,18,3,3,1.1,100,11,24,f,
adwe19,18,,4,1.9,73,74,14,f,
adwe19,23,,1,1.4,84,26,15,f,
adwe19,23,2,2,1.1,99,13,33,m,
adwe19,23,,3,1.2,100,15,13,f,
adwe19,23,,4,1.6,81,32,22,f,
adwe19,6,,1,1.4,88,34,,m,
adwe19,6,2,2,1.4,89,26,,m,
adwe19,6,,3,2.3,78,117,,f,
adwe19,6,,4,1.9,77,109,,m,
adwe19,24,1,1,1.0,100,33,11,f,
adwe19,24,,2,1.3,98,106,,f,
adwe19,24,,3,1.0,99,23,15,f,
adwe19,24,,4,1.3,96,96,,f,
adwe19,12,,1,1.8,85,72,,f,
adwe19,12,2,2,1.0,99,26,,m,
adwe19,12,,3,1.8,84,96,,m,
adwe19,12,,4,1.1,98,28,,f,
adwe19,36,1,1,1.4,82,29,41,m,
adwe19,36,,2,2.2,77,32,,f,
adwe19,36,,3,2.4,70,47,,m,
adwe19,36,,4,1.5,86,29,38,m,
adwe19,30,,1,2.1,72,87,,f,
adwe19,30,,2,2.2,75,105,,f,
adwe19,30,,3,2.3,77,24,21,f,
adwe19,30,4,4,2.0,73,43,39,m,
