vpID;scenID;choice;locPos;note;prozent;anzahl;photoID;sex;
Agng05;16;;1;1.8;89;15;31;m;
Agng05;16;;2;2.2;75;102;39;m;
Agng05;16;3;3;2.0;75;73;25;m;
Agng05;16;;4;1.5;88;10;33;m;
Agng05;35;;1;1.6;91;6;;f;
Agng05;35;;2;1.7;90;7;;f;
Agng05;35;3;3;1.1;100;10;15;f;
Agng05;35;;4;1.3;95;14;13;f;
Agng05;17;;1;1.1;97;44;16;f;
Agng05;17;2;2;2.1;77;80;32;m;
Agng05;17;;3;1.0;100;45;15;f;
Agng05;17;;4;2.1;68;102;35;m;
Agng05;27;;1;1.5;80;48;40;m;
Agng05;27;;2;1.4;81;76;;m;
Agng05;27;3;3;1.6;90;32;35;m;
Agng05;27;;4;1.4;87;72;;f;
Agng05;37;;1;2.1;77;32;;f;
Agng05;37;;2;2.4;66;42;;f;
Agng05;37;;3;1.1;98;22;39;m;
Agng05;37;4;4;1.2;95;33;25;m;
Agng05;40;;1;2.0;76;106;;f;
Agng05;40;;2;1.1;100;89;14;f;
Agng05;40;;3;2.3;78;109;;f;
Agng05;40;4;4;1.1;98;104;22;f;
Agng05;6;;1;2.3;73;104;;m;
Agng05;6;2;2;1.4;82;48;;m;
Agng05;6;;3;1.7;85;21;;m;
Agng05;6;;4;2.0;66;76;;f;
Agng05;31;;1;1.9;76;8;31;m;
Agng05;31;;2;2.1;79;13;39;m;
Agng05;31;;3;2.2;71;73;;f;
Agng05;31;4;4;2.2;75;109;;m;
Agng05;8;1;1;1.3;95;30;;f;
Agng05;8;;2;2.0;70;120;;m;
Agng05;8;;3;2.0;68;112;;m;
Agng05;8;;4;1.0;98;25;;f;
Agng05;34;;1;1.9;68;14;;m;
Agng05;34;2;2;1.0;100;14;27;m;
Agng05;34;;3;1.2;97;10;17;f;
Agng05;34;;4;2.3;72;7;;f;
Agng05;7;;1;2.1;67;92;;f;
Agng05;7;;2;1.5;81;12;;m;
Agng05;7;3;3;2.2;79;112;;f;
Agng05;7;;4;1.7;90;8;;m;
Agng05;15;1;1;1.7;94;21;41;m;
Agng05;15;;2;2.1;68;80;18;f;
Agng05;15;;3;2.1;70;102;19;f;
Agng05;15;;4;1.8;88;21;33;m;
Agng05;26;;1;1.0;98;40;;m;
Agng05;26;2;2;1.3;97;13;28;m;
Agng05;26;;3;1.3;98;13;29;m;
Agng05;26;;4;1.0;99;28;;f;
Agng05;29;1;1;1.8;85;10;26;m;
Agng05;29;;2;1.7;88;35;;m;
Agng05;29;;3;1.6;89;8;18;f;
Agng05;29;;4;1.5;90;22;;f;
Agng05;14;;1;1.0;96;8;;m;
Agng05;14;;2;1.0;96;7;;f;
Agng05;14;3;3;1.6;86;23;;m;
Agng05;14;;4;1.5;89;46;;f;
Agng05;41;;1;1.3;97;74;35;m;
Agng05;41;;2;1.6;89;113;;f;
Agng05;41;;3;1.5;91;96;;f;
Agng05;41;4;4;1.1;100;86;12;f;
Agng05;22;;1;1.1;96;10;18;f;
Agng05;22;;2;1.5;88;96;21;f;
Agng05;22;;3;1.1;97;5;17;f;
Agng05;22;4;4;1.8;89;84;28;m;
Agng05;39;;1;1.7;82;111;17;f;
Agng05;39;2;2;1.7;84;103;15;f;
Agng05;39;;3;2.2;69;92;;f;
Agng05;39;;4;2.3;71;70;;m;
Agng05;10;;1;1.7;94;13;;f;
Agng05;10;;2;2.3;72;30;;f;
Agng05;10;;3;1.9;66;36;;m;
Agng05;10;4;4;1.5;90;11;;f;
Agng05;30;1;1;2.1;75;45;27;m;
Agng05;30;;2;2.2;68;26;38;m;
Agng05;30;;3;2.2;66;105;;m;
Agng05;30;;4;2.4;66;93;;m;
Agng05;19;;1;1.7;87;5;19;f;
Agng05;19;2;2;2.1;74;25;28;m;
Agng05;19;;3;1.6;83;5;36;m;
Agng05;19;;4;2.1;75;23;35;m;
Agng05;33;1;1;1.5;94;12;34;m;
Agng05;33;;2;2.1;68;9;;f;
Agng05;33;;3;1.7;81;14;23;f;
Agng05;33;;4;2.1;79;13;;m;
Agng05;9;;1;2.2;78;74;;m;
Agng05;9;;2;2.1;71;84;;m;
Agng05;9;3;3;1.3;97;11;;m;
Agng05;9;;4;1.0;99;9;;f;
Agng05;13;;1;1.0;95;5;;m;
Agng05;13;2;2;1.4;89;85;;f;
Agng05;13;;3;1.7;93;75;;m;
Agng05;13;;4;1.1;100;8;;m;
Agng05;32;1;1;2.1;72;14;29;m;
Agng05;32;;2;2.3;69;32;;f;
Agng05;32;;3;2.0;67;24;;f;
Agng05;32;;4;1.9;68;31;;m;
Agng05;20;;1;1.2;100;10;21;f;
Agng05;20;2;2;1.2;97;10;41;m;
Agng05;20;;3;2.0;73;30;25;m;
Agng05;20;;4;2.2;73;47;36;m;
Agng05;18;;1;2.4;71;79;32;m;
Agng05;18;;2;1.3;98;6;23;f;
Agng05;18;3;3;2.1;68;109;41;m;
Agng05;18;;4;1.1;95;10;19;f;
Agng05;11;;1;2.3;66;44;;m;
Agng05;11;2;2;1.2;98;9;;f;
Agng05;11;;3;2.0;68;27;;f;
Agng05;11;;4;1.3;100;11;;f;
Agng05;36;1;1;1.5;88;36;28;m;
Agng05;36;;2;1.8;90;35;37;m;
Agng05;36;;3;2.3;66;28;;f;
Agng05;36;;4;2.3;69;32;;f;
Agng05;23;;1;1.8;84;22;15;f;
Agng05;23;;2;1.3;98;10;23;f;
Agng05;23;3;3;1.7;85;49;31;m;
Agng05;23;;4;1.1;99;7;20;f;
Agng05;12;1;1;1.4;86;100;;m;
Agng05;12;;2;1.2;100;44;;f;
Agng05;12;;3;1.0;100;26;;m;
Agng05;12;;4;1.8;91;88;;m;
Agng05;28;1;1;1.6;83;10;34;m;
Agng05;28;;2;1.4;84;114;;m;
Agng05;28;;3;1.7;84;88;;f;
Agng05;28;;4;1.8;87;5;14;f;
Agng05;24;;1;1.3;97;111;;m;
Agng05;24;;2;1.3;97;44;37;m;
Agng05;24;;3;1.1;95;105;;f;
Agng05;24;4;4;1.0;100;38;25;m;
Agng05;25;;1;1.1;98;6;33;m;
Agng05;25;;2;1.2;96;97;;f;
Agng05;25;3;3;1.3;100;13;28;m;
Agng05;25;;4;1.2;96;101;;f;
Agng05;38;;1;1.6;93;49;;f;
Agng05;38;;2;1.5;81;25;;m;
Agng05;38;3;3;1.2;95;50;25;m;
Agng05;38;;4;1.0;98;40;39;m;
Agng05;21;1;1;1.0;97;42;27;m;
Agng05;21;;2;1.8;88;102;19;f;
Agng05;21;;3;1.1;96;50;20;f;
Agng05;21;;4;1.6;80;115;39;m;
ando29;33;1;1;1.4;85;7;22;f;
ando29;33;;2;1.5;85;6;37;m;
ando29;33;;3;1.9;76;13;;m;
