#;16-13 18;35-9 21;17-13 20;27-7 17;37-5 20;40-4 19;6-4 8;31-4 15;8-4 11;34-6 21;7-4 9;15-13 17;26-11 21;29-8 18;14-8 12;41-7 19;22-16 21;39-4 16;10-5 9;30-4 14;19-14 18;33-6 18;9-4 12;13-7 12;32-5 15;20-14 21;18-13 21;11-5 12;36-5 17;23-17 21;12-7 11;28-7 18;24-10 20;25-10 21;38-8 20;21-16 20;
Agng05;13;21;13;17;20;19;8;4;11;21;4;17;21;18;8;19;16;16;9;14;14;18;12;7;15;21;13;12;17;17;7;18;20;21;20;20;
ando29;18;21;20;7;20;19;8;4;11;21;9;17;11;8;12;19;21;16;9;14;18;18;12;12;5;21;21;12;17;21;11;7;10;10;20;20;
Anen27;13;21;20;7;20;19;8;4;11;21;4;13;11;8;8;19;16;16;9;14;14;18;12;7;5;21;13;12;17;21;11;18;20;10;20;16;
anrd16;18;21;20;17;20;19;8;4;11;21;9;17;11;8;12;19;21;16;9;4;18;18;12;12;5;21;21;12;17;21;11;18;10;10;20;20;
bart10;18;21;20;17;20;19;8;4;11;21;9;17;11;8;12;19;16;4;9;4;18;18;4;12;5;21;21;12;17;17;11;7;20;10;20;20;
Bean06;13;21;20;17;20;19;8;15;11;21;9;17;21;8;8;19;16;16;9;14;14;18;12;12;15;21;21;12;17;17;11;18;20;21;20;20;
Berg08;13;9;20;7;20;19;4;4;4;6;4;17;11;8;8;19;16;16;5;4;14;18;4;7;5;14;13;5;17;17;7;7;10;10;20;20;
Bias18;18;21;20;17;20;19;8;15;11;21;9;17;21;18;12;19;16;16;9;14;18;18;12;12;15;14;21;12;17;21;11;18;20;21;20;20;
Biko18;18;21;20;17;20;19;8;15;11;21;9;17;21;18;12;19;21;16;9;14;18;18;12;12;15;21;21;12;17;21;11;18;20;21;20;20;
birt06;18;21;13;17;20;4;8;15;11;21;9;17;21;8;8;19;21;16;5;14;18;18;12;12;15;21;21;5;17;21;11;18;20;21;20;16;
