vpID,geschlecht,alter,familienstand,schulabschluss,ausbildung,taetigkeit,internetnutzung,arztbesuche,
Agng05,m,18,ledig,Realschulabschluss / mittlere Reife,(noch) keine abgeschlossene Ausbildung,SchülerIn,30,2,
ando29,f,20,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,21,4,
Anen27,m,21,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,20,12,
anrd16,f,23,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,8,3,
bart10,m,24,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,20,2,
Bean06,f,17,ledig,(noch) kein Schulabschluss,(noch) keine abgeschlossene Ausbildung,SchülerIn,8,5,
Berg08,f,18,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,SchülerIn,5,6,
Bias18,f,23,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,7,5,
Biko18,m,16,ledig,Realschulabschluss / mittlere Reife,(noch) keine abgeschlossene Ausbildung,SchülerIn,15,5,
birt06,f,23,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,14,4,
Biwe23,f,20,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,20,5,
Brlf09,f,22,ledig,Abitur / Fachhochschulreife,Bachelor,StudentIn,7,3,
cari17,m,46,verwitwet,Abitur / Fachhochschulreife,Master Diplom Magister Staatsexamen,angestellt,2,1,
Cheo31,f,21,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,SchülerIn,26,4,
Cher22,m,21,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,17,6,
chhe10,f,50,verheiratet,Abitur / Fachhochschulreife,Lehre,angestellt,4,3,
chrt15,f,63,verheiratet,Abitur / Fachhochschulreife,Master Diplom Magister Staatsexamen,angestellt,1,5,
Cler14,f,21,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,4,10,
doas01,m,24,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,14,2,
edmm04,m,40,ledig,Abitur / Fachhochschulreife,Meister- Techniker- oder gleichwertiger Fachschulabschluss,selbstständig,10,3,
elas06,f,22,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,SchülerIn,2,7,
elrt02,m,25,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,5,2,
evad45,m,22,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,35,0,
faer14,m,23,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,StudentIn,15,10,
gank06,m,23,ledig,Abitur / Fachhochschulreife,(noch) keine abgeschlossene Ausbildung,angestellt,20,0,
