"","vpscenID","choice","note1","note2","note3","anzahl1","anzahl2","anzahl3","photoID","geschlecht","sex","internetnutzung"
"1","adwe19 1",1,0,1,0,0,1,0,0,0,0,2
"2","adwe19 1",0,0,0,1,0,0,1,0,0,1,2
"3","adwe19 2",1,0,1,0,1,0,0,0,0,0,2
"4","adwe19 2",0,0,0,1,0,0,1,0,0,0,2
"5","adwe19 3",1,1,0,0,0,1,0,0,0,0,2
"6","adwe19 3",0,0,0,1,0,0,1,0,0,1,2
"7","adwe19 4",1,1,0,0,1,0,0,0,0,0,2
"8","adwe19 4",0,0,0,1,0,0,1,0,0,1,2
"9","adwe19 5",1,0,1,0,1,0,0,0,0,1,2
"10","adwe19 5",0,0,0,1,0,1,0,0,0,1,2
"11","adwe19 6",1,1,0,0,1,0,0,0,0,1,2
"12","adwe19 6",0,0,0,1,0,1,0,0,0,1,2
"13","adwe19 7",1,1,0,0,0,1,0,0,0,0,2
"14","adwe19 7",0,0,1,0,0,0,1,0,0,1,2
"15","adwe19 8",1,1,0,0,1,0,0,0,0,1,2
"16","adwe19 8",0,0,1,0,0,0,1,0,0,0,2
"17","adwe19 9",1,1,0,0,1,0,0,0,0,1,2
"18","adwe19 9",0,0,1,0,0,1,0,0,0,1,2
"19","adwe19 10",1,0,1,0,0,1,0,1,0,1,2
"20","adwe19 10",0,0,0,1,0,0,1,1,0,0,2
"21","adwe19 11",1,0,1,0,1,0,0,1,0,1,2
"22","adwe19 11",0,0,0,1,0,0,1,1,0,0,2
"23","adwe19 12",1,1,0,0,0,1,0,1,0,0,2
"24","adwe19 12",0,0,0,1,0,0,1,1,0,0,2
"25","adwe19 13",1,1,0,0,1,0,0,1,0,1,2
"26","adwe19 13",0,0,0,1,0,0,1,1,0,0,2
"27","adwe19 14",1,0,1,0,1,0,0,1,0,1,2
"28","adwe19 14",0,0,0,1,0,1,0,1,0,1,2
"29","adwe19 15",1,1,0,0,1,0,0,1,0,0,2
"30","adwe19 15",0,0,0,1,0,1,0,1,0,0,2
"31","adwe19 16",1,1,0,0,0,1,0,1,0,0,2
"32","adwe19 16",0,0,1,0,0,0,1,1,0,0,2
"33","adwe19 17",1,0,1,0,0,0,1,1,0,0,2
"34","adwe19 17",0,1,0,0,1,0,0,1,0,0,2
"35","adwe19 18",1,1,0,0,1,0,0,1,0,0,2
"36","adwe19 18",0,0,1,0,0,1,0,1,0,1,2
"37","adwe19 19",1,1,0,0,0,1,0,1,0,1,2
"38","adwe19 19",0,1,0,0,0,0,1,0,0,1,2
"39","adwe19 20",1,1,0,0,0,0,1,0,0,0,2
"40","adwe19 20",0,1,0,0,1,0,0,1,0,0,2
"41","adwe19 21",1,1,0,0,0,1,0,0,0,0,2
"42","adwe19 21",0,1,0,0,1,0,0,1,0,1,2
"43","adwe19 22",1,0,1,0,0,0,1,0,0,1,2
"44","adwe19 22",0,0,1,0,0,1,0,1,0,0,2
"45","adwe19 23",1,0,1,0,1,0,0,1,0,0,2
"46","adwe19 23",0,0,1,0,0,0,1,0,0,0,2
"47","adwe19 24",1,0,1,0,0,1,0,0,0,0,2
"48","adwe19 24",0,0,1,0,1,0,0,1,0,1,2
"49","adwe19 25",1,0,0,1,0,1,0,1,0,0,2
"50","adwe19 25",0,0,0,1,0,0,1,0,0,1,2
"51","adwe19 26",1,0,0,1,0,0,1,0,0,0,2
"52","adwe19 26",0,0,0,1,1,0,0,1,0,0,2
"53","adwe19 27",1,0,0,1,0,1,0,0,0,0,2
"54","adwe19 27",0,0,0,1,1,0,0,1,0,1,2
"55","adwe19 28",1,0,1,0,1,0,0,1,0,0,2
"56","adwe19 28",0,0,0,1,1,0,0,0,0,0,2
"57","adwe19 29",1,1,0,0,1,0,0,1,0,1,2
"58","adwe19 29",0,0,0,1,1,0,0,0,0,1,2
"59","adwe19 30",1,1,0,0,1,0,0,1,0,0,2
"60","adwe19 30",0,0,1,0,1,0,0,0,0,0,2
"61","adwe19 31",1,0,1,0,0,1,0,1,0,0,2
"62","adwe19 31",0,0,0,1,0,1,0,0,0,1,2
"63","adwe19 32",1,1,0,0,0,1,0,1,0,1,2
"64","adwe19 32",0,0,0,1,0,1,0,0,0,1,2
"65","adwe19 33",1,1,0,0,0,1,0,1,0,1,2
"66","adwe19 33",0,0,1,0,0,1,0,0,0,1,2
"67","adwe19 34",1,0,1,0,0,0,1,1,0,0,2
"68","adwe19 34",0,0,0,1,0,0,1,0,0,1,2
"69","adwe19 35",1,1,0,0,0,0,1,1,0,0,2
"70","adwe19 35",0,0,0,1,0,0,1,0,0,0,2
"71","adwe19 36",1,1,0,0,0,0,1,1,0,0,2
"72","adwe19 36",0,0,1,0,0,0,1,0,0,0,2
"73","Agng05 1",1,0,1,0,0,1,0,0,0,0,30
"74","Agng05 1",0,0,0,1,0,0,1,0,0,0,30
"75","Agng05 2",1,0,0,1,0,0,1,0,0,1,30
"76","Agng05 2",0,0,1,0,1,0,0,0,0,0,30
"77","Agng05 3",1,1,0,0,0,1,0,0,0,1,30
"78","Agng05 3",0,0,0,1,0,0,1,0,0,0,30
"79","Agng05 4",1,1,0,0,1,0,0,0,0,0,30
"80","Agng05 4",0,0,0,1,0,0,1,0,0,0,30
"81","Agng05 5",1,0,1,0,1,0,0,0,0,1,30
"82","Agng05 5",0,0,0,1,0,1,0,0,0,1,30
"83","Agng05 6",1,1,0,0,1,0,0,0,0,1,30
"84","Agng05 6",0,0,0,1,0,1,0,0,0,0,30
"85","Agng05 7",1,0,1,0,0,0,1,0,0,0,30
"86","Agng05 7",0,1,0,0,0,1,0,0,0,1,30
"87","Agng05 8",1,0,1,0,0,0,1,0,0,1,30
