"","vpscenID","choice","note1","note2","note3","anzahl1","anzahl2","anzahl3","photoID","geschlecht","sex","internetnutzung"
"1","Agng05 1",1,0,1,0,0,1,0,0,0,0,30
"2","Agng05 1",0,0,0,1,0,0,1,0,0,0,30
"3","Agng05 2",1,0,0,1,0,0,1,0,0,1,30
"4","Agng05 2",0,0,1,0,1,0,0,0,0,0,30
"5","Agng05 3",1,1,0,0,0,1,0,0,0,1,30
"6","Agng05 3",0,0,0,1,0,0,1,0,0,0,30
"7","Agng05 4",1,1,0,0,1,0,0,0,0,0,30
"8","Agng05 4",0,0,0,1,0,0,1,0,0,0,30
"9","Agng05 5",1,0,1,0,1,0,0,0,0,1,30
"10","Agng05 5",0,0,0,1,0,1,0,0,0,1,30
"11","Agng05 6",1,1,0,0,1,0,0,0,0,1,30
"12","Agng05 6",0,0,0,1,0,1,0,0,0,0,30
"13","Agng05 7",1,0,1,0,0,0,1,0,0,0,30
"14","Agng05 7",0,1,0,0,0,1,0,0,0,1,30
"15","Agng05 8",1,0,1,0,0,0,1,0,0,1,30
"16","Agng05 8",0,1,0,0,1,0,0,0,0,0,30
"17","Agng05 9",1,0,1,0,0,1,0,0,0,0,30
"18","Agng05 9",0,1,0,0,1,0,0,0,0,0,30
"19","Agng05 10",1,0,1,0,0,1,0,1,0,0,30
"20","Agng05 10",0,0,0,1,0,0,1,1,0,1,30
"21","Agng05 11",1,0,0,1,0,0,1,1,0,0,30
"22","Agng05 11",0,0,1,0,1,0,0,1,0,0,30
"23","Agng05 12",1,0,0,1,0,0,1,1,0,0,30
"24","Agng05 12",0,1,0,0,0,1,0,1,0,1,30
"25","Agng05 13",1,0,0,1,0,0,1,1,0,0,30
"26","Agng05 13",0,1,0,0,1,0,0,1,0,1,30
"27","Agng05 14",1,0,0,1,0,1,0,1,0,0,30
"28","Agng05 14",0,0,1,0,1,0,0,1,0,1,30
"29","Agng05 15",1,1,0,0,1,0,0,1,0,0,30
"30","Agng05 15",0,0,0,1,0,1,0,1,0,0,30
"31","Agng05 16",1,1,0,0,0,1,0,1,0,0,30
"32","Agng05 16",0,0,1,0,0,0,1,1,0,1,30
"33","Agng05 17",1,0,1,0,0,0,1,1,0,0,30
"34","Agng05 17",0,1,0,0,1,0,0,1,0,1,30
"35","Agng05 18",1,0,1,0,0,1,0,1,0,0,30
"36","Agng05 18",0,1,0,0,1,0,0,1,0,1,30
"37","Agng05 19",1,1,0,0,0,1,0,1,0,0,30
"38","Agng05 19",0,1,0,0,0,0,1,0,0,0,30
"39","Agng05 20",1,1,0,0,1,0,0,1,0,0,30
"40","Agng05 20",0,1,0,0,0,0,1,0,0,1,30
"41","Agng05 21",1,1,0,0,1,0,0,1,0,0,30
"42","Agng05 21",0,1,0,0,0,1,0,0,0,0,30
"43","Agng05 22",1,0,1,0,0,1,0,1,0,0,30
"44","Agng05 22",0,0,1,0,0,0,1,0,0,0,30
"45","Agng05 23",1,0,1,0,1,0,0,1,0,0,30
"46","Agng05 23",0,0,1,0,0,0,1,0,0,0,30
"47","Agng05 24",1,0,1,0,1,0,0,1,0,0,30
"48","Agng05 24",0,0,1,0,0,1,0,0,0,0,30
"49","Agng05 25",1,0,0,1,0,1,0,1,0,0,30
"50","Agng05 25",0,0,0,1,0,0,1,0,0,0,30
"51","Agng05 26",1,0,0,1,0,0,1,0,0,0,30
"52","Agng05 26",0,0,0,1,1,0,0,1,0,0,30
"53","Agng05 27",1,0,0,1,1,0,0,1,0,0,30
"54","Agng05 27",0,0,0,1,0,1,0,0,0,1,30
"55","Agng05 28",1,0,1,0,1,0,0,1,0,0,30
"56","Agng05 28",0,0,0,1,1,0,0,0,0,1,30
"57","Agng05 29",1,1,0,0,1,0,0,1,0,0,30
"58","Agng05 29",0,0,0,1,1,0,0,0,0,0,30
"59","Agng05 30",1,1,0,0,1,0,0,1,0,1,30
"60","Agng05 30",0,0,1,0,1,0,0,0,0,1,30
"61","Agng05 31",1,0,1,0,0,1,0,1,0,0,30
"62","Agng05 31",0,0,0,1,0,1,0,0,0,1,30
"63","Agng05 32",1,1,0,0,0,1,0,1,0,0,30
"64","Agng05 32",0,0,0,1,0,1,0,0,0,1,30
"65","Agng05 33",1,1,0,0,0,1,0,1,0,0,30
