#,41-7 19,16-13 18,25-10 21,11-5 12,18-13 21,23-17 21,6-4 8,24-10 20,12-7 11,36-5 17,30-4 14,10-5 9,21-16 20,29-8 18,19-14 18,26-11 21,7-4 9,13-7 12,34-6 21,35-9 21,40-4 19,38-8 20,28-7 18,17-13 20,37-5 20,14-8 12,20-14 21,33-6 18,8-4 11,9-4 12,31-4 15,32-5 15,27-7 17,15-13 17,22-16 21,39-4 16,
adwe19,19,18,10,12,21,21,8,20,11,17,14,9,20,8,18,11,9,12,21,21,19,20,18,20,20,12,21,18,11,12,4,5,7,17,16,16,
Asns06,19,13,10,5,21,21,8,20,11,17,4,9,20,18,18,11,9,7,21,9,19,20,7,20,20,8,21,18,11,4,15,5,7,17,21,16,
Bert27,19,18,10,12,13,17,8,20,11,17,14,9,20,8,18,11,4,7,21,21,19,20,7,20,20,8,14,18,11,12,15,5,17,17,16,16,
BEUT31,19,13,10,12,21,21,8,20,11,17,4,9,20,8,18,11,4,12,21,21,19,20,7,20,20,12,21,18,11,12,4,5,17,17,21,16,
biwe28,19,18,21,12,21,21,8,20,11,17,4,9,20,8,18,11,9,7,21,21,19,20,7,20,20,12,21,18,11,12,4,5,7,17,21,16,
BRER14,19,18,10,12,21,21,8,10,11,17,4,9,20,8,14,11,9,7,21,21,19,20,7,20,20,12,21,18,11,4,4,5,17,17,21,16,
brnk05,7,18,10,12,21,21,8,10,11,17,4,9,20,8,18,11,9,12,21,21,19,20,7,20,20,12,21,18,11,12,4,5,7,17,21,16,
CLAO19,19,18,10,12,21,21,8,20,11,17,14,9,16,18,18,21,9,12,21,21,19,20,18,20,20,12,21,18,11,12,15,5,7,17,21,16,
FAEF03,7,13,10,12,13,17,4,10,7,17,4,5,16,8,14,11,9,7,21,21,19,8,7,13,20,12,21,18,11,12,4,15,7,13,16,16,
gawe05,19,18,21,12,21,21,8,20,11,17,14,9,16,18,18,21,9,7,21,21,19,20,18,20,20,12,21,18,11,12,15,15,17,17,21,16,
giar26,19,18,10,12,21,21,8,10,11,17,14,9,20,18,18,11,9,12,21,21,19,20,7,20,20,12,21,18,11,12,4,5,7,17,21,16,
Gier18,19,13,10,5,13,17,8,20,7,17,4,9,20,8,18,11,4,7,21,21,19,20,7,20,20,8,21,18,11,4,4,5,7,13,16,16,
haan03,19,18,10,12,21,17,8,10,11,17,4,9,16,8,18,11,4,7,21,21,19,20,7,20,20,8,21,18,11,4,4,5,7,17,16,16,
helm24,19,13,10,5,13,17,8,10,7,17,14,5,20,8,18,11,4,7,21,21,19,20,7,20,20,8,21,18,11,4,4,5,7,17,16,16,
Henk15,19,13,10,5,21,21,4,10,7,17,4,5,16,8,18,11,4,7,21,21,19,20,7,20,20,8,21,18,4,4,4,15,7,13,16,16,
hest06,19,18,10,5,13,17,8,20,11,17,14,5,16,8,14,21,4,7,21,9,19,20,7,13,20,8,14,18,11,4,4,5,7,13,16,16,
irrk01,19,13,10,12,13,17,8,10,7,17,4,9,16,8,14,11,4,7,21,21,19,20,7,13,20,8,14,18,11,4,4,5,7,17,16,16,
juan29,7,13,10,12,21,17,8,10,7,17,4,5,16,8,18,21,9,7,21,21,19,20,7,20,20,12,14,18,11,4,4,5,17,17,16,16,
jurd09,19,18,10,12,21,17,8,10,11,17,4,9,20,8,18,11,9,12,21,21,19,20,7,20,20,12,21,18,11,12,4,5,17,17,16,16,
kado10,19,18,10,5,13,17,8,10,7,17,4,5,16,8,14,11,4,7,21,21,19,20,7,20,20,8,21,18,4,4,4,5,7,13,16,16,
Kher29,19,18,10,12,21,21,8,10,11,17,14,9,20,8,18,11,9,12,21,21,19,20,7,20,20,8,21,18,11,12,4,5,17,13,16,16,
maed13,19,13,21,12,21,21,4,20,11,17,14,9,20,18,14,21,9,12,21,21,19,20,18,20,20,12,21,18,11,12,15,15,17,13,21,16,
MALD01,19,18,21,12,21,21,8,10,11,17,14,9,20,8,18,21,9,7,21,21,19,20,7,20,20,12,21,18,11,12,4,15,7,17,21,16,
Mark19,19,18,10,12,21,17,4,10,7,17,4,5,16,8,18,11,4,7,21,21,19,20,7,20,20,8,21,18,11,12,15,5,7,17,16,16,
meli11,19,18,10,12,21,21,8,10,11,17,14,9,20,8,14,11,9,7,21,21,19,20,7,20,20,8,21,18,11,12,4,5,7,17,16,16,
olrd03,19,18,10,12,21,17,8,10,11,17,14,9,20,18,18,21,9,7,21,21,19,20,18,20,20,8,21,18,11,12,4,5,7,13,16,16,
peho13,19,18,10,12,13,17,8,20,11,17,14,9,20,8,18,11,9,7,21,21,19,20,7,20,20,12,14,18,11,4,4,5,7,17,16,16,
Peld27,19,13,21,12,13,17,8,10,11,17,4,9,16,8,14,11,4,7,21,9,19,20,7,20,20,12,14,18,4,4,4,5,7,13,16,16,
peno25,19,13,21,12,21,21,4,10,11,17,4,9,20,8,18,21,9,7,21,21,19,8,7,20,5,12,21,18,4,4,4,5,17,13,16,16,
reas07,19,18,10,12,13,21,8,20,11,17,4,9,20,18,18,21,9,12,21,21,19,20,7,20,20,12,21,18,11,12,4,5,7,17,16,16,
roie27,19,18,10,12,21,21,8,10,11,17,4,9,20,8,18,11,9,12,21,21,19,20,7,20,20,12,21,18,4,12,4,15,17,17,21,16,
saht28,7,13,10,12,13,17,4,10,11,17,14,9,16,18,18,21,4,7,21,21,19,8,7,20,20,8,21,18,11,4,4,5,7,17,16,16,
Sico09,19,18,10,5,21,17,8,10,11,17,4,9,20,18,14,11,9,7,21,21,19,20,7,20,20,12,21,18,11,4,4,5,7,13,16,16,
test034,19,18,10,12,21,21,8,20,11,17,4,9,20,18,18,11,9,12,21,21,19,20,7,20,20,12,21,18,11,12,4,5,17,17,21,16,
